tournament_year,match_date,home_team,away_team,decision_type,beneficiary_team,against_team,description,source_url,resolution_source
2022,2022-11-20,Qatar,Ecuador,goal_disallowed,Qatar,Ecuador,Valencia's early goal for Ecuador ruled out for offside via semi-automated offside technology.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-21,England,Iran,penalty_awarded,Iran,England,Penalty to Iran for foul by Stones on Pouraliganji after VAR review; Taremi scored.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-22,Argentina,Saudi Arabia,penalty_awarded,Argentina,Saudi Arabia,VAR review: penalty to Argentina for Abdulhamid holding Paredes at a corner; Messi scored.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-22,Argentina,Saudi Arabia,goal_disallowed,Saudi Arabia,Argentina,Lautaro Martinez's 27th-minute goal disallowed for offside via semi-automated offside technology (shoulder ahead of last defender).,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-22,Mexico,Poland,penalty_awarded,Poland,Mexico,VAR review: penalty to Poland for foul by Moreno on Lewandowski; Ochoa saved.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-22,Denmark,Tunisia,other,Tunisia,Denmark,Rejected on-field review: VAR advised penalty to Denmark for Meriah handball; referee Ramos instead penalised a prior foul by Jensen (Denmark) and gave Tunisia a free kick.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-23,Germany,Japan,goal_disallowed,Japan,Germany,Havertz goal disallowed for offside after VAR review.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-23,Belgium,Canada,penalty_awarded,Canada,Belgium,VAR review: penalty to Canada for handball by Carrasco; Davies's kick saved by Courtois.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-25,Wales,Iran,red_card_issued,Iran,Wales,On-field review: Wales goalkeeper Hennessey's challenge upgraded to a straight red card (only VAR red card of the tournament).,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-25,Wales,Iran,goal_disallowed,Wales,Iran,Gholizadeh goal for Iran disallowed for offside after VAR review.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-26,Poland,Saudi Arabia,penalty_awarded,Saudi Arabia,Poland,VAR review: penalty to Saudi Arabia for foul by Bielik on Al-Shehri; Al-Dawsari's kick saved by Szczesny.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-27,Belgium,Morocco,goal_disallowed,Belgium,Morocco,Ziyech free-kick goal disallowed: Saiss offside in front of the goalkeeper.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-27,Spain,Germany,goal_disallowed,Spain,Germany,Rudiger goal disallowed for offside after VAR review.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-28,Cameroon,Serbia,goal_awarded,Cameroon,Serbia,Aboubakar goal awarded after incorrect offside flag was overturned by VAR.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-28,Brazil,Switzerland,goal_disallowed,Switzerland,Brazil,Vinicius Junior goal disallowed: Richarlison offside in the build-up.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-28,Portugal,Uruguay,penalty_awarded,Portugal,Uruguay,VAR review: penalty to Portugal for handball by Gimenez; Bruno Fernandes scored.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-29,Netherlands,Qatar,goal_disallowed,Qatar,Netherlands,Berghuis goal disallowed for handball by Gakpo in the build-up.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-30,Poland,Argentina,penalty_awarded,Argentina,Poland,On-field review: penalty to Argentina for Szczesny's glove contact on Messi's face; Szczesny saved Messi's kick. ESPN judged the intervention unnecessary.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-11-30,Tunisia,France,goal_disallowed,Tunisia,France,Griezmann's 98th-minute equaliser disallowed for offside after VAR review (played after full-time whistle sequence; ESPN questioned the process).,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-01,Croatia,Belgium,penalty_rescinded,Belgium,Croatia,Penalty awarded to Croatia (Carrasco on Kramaric) cancelled after on-field review for a marginal offside against Lovren in the build-up.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-01,Japan,Spain,goal_awarded,Japan,Spain,Tanaka's winner allowed after VAR review: ball ruled (by millimetres) not to have fully crossed the byline before Mitoma's cutback.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-01,Costa Rica,Germany,goal_awarded,Germany,Costa Rica,Fullkrug goal awarded after incorrect offside flag was overturned by VAR.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-02,Ghana,Uruguay,penalty_awarded,Ghana,Uruguay,"VAR review: offside flag against Andre Ayew invalidated (played onside), opening review of Rochet's collision with Kudus; penalty to Ghana, Andre Ayew's kick saved.",https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-02,Ghana,Uruguay,other,Ghana,Uruguay,Rejected on-field review: VAR advised penalty review for Amartey's challenge on Nunez; referee Siebert stuck with no penalty.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-04,France,Poland,penalty_awarded,Poland,France,R16: VAR review awarded Poland a stoppage-time penalty for handball by Upamecano.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-04,France,Poland,other,Poland,France,"R16: Lewandowski's penalty was saved by Lloris, but VAR ordered a retake because Lloris was off his line; Lewandowski converted the retake.",https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2022,2022-12-10,England,France,penalty_awarded,England,France,QF: VAR review awarded England an 84th-minute penalty for Theo Hernandez's push on Mount; Kane shot over the bar.,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,
2026,2026-06-17,Argentina,Algeria,goal_disallowed,Argentina,Algeria,8': Chaibi (Algeria) goal ruled out after VAR review (ESPN feed; ground for overturn not stated in feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760433,
2026,2026-06-17,Austria,Jordan,goal_disallowed,Jordan,Austria,67': Arnautovic (Austria) goal ruled out after VAR review (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,
2026,2026-06-21,Spain,Saudi Arabia,goal_disallowed,Saudi Arabia,Spain,90+2': Ferran Torres (Spain) goal ruled out after VAR review (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760453,
2026,2026-06-21,Belgium,Iran,goal_disallowed,Belgium,Iran,25': Taremi (Iran) goal ruled out for offside after VAR check (ESPN feed; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-23,Portugal,Uzbekistan,goal_disallowed,Portugal,Uzbekistan,29': G'aniev (Uzbekistan) goal ruled out after VAR review (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760461,
2026,2026-06-24,Scotland,Brazil,goal_disallowed,Scotland,Brazil,22': Vinicius Junior (Brazil) goal ruled out after VAR review (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760465,
2026,2026-06-27,Egypt,Iran,goal_disallowed,Egypt,Iran,90+3': Khalilzadeh (Iran) stoppage-time goal ruled out for offside after VAR review (ESPN feed; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-27,DR Congo,Uzbekistan,goal_disallowed,Uzbekistan,DR Congo,17': Mbuku (DR Congo) goal disallowed after VAR review for a foul in the build-up (Mbuku caught Nasrullaev with his hand; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-29,Germany,Paraguay,goal_disallowed,Paraguay,Germany,"R32, 102' (extra time): Tah (Germany) goal disallowed after on-field review for a foul by Anton on Paraguay goalkeeper Gill (ESPN feed; ESPN VAR review column).",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-07-02,Portugal,Croatia,goal_disallowed,Portugal,Croatia,"R32, 90+13': Gvardiol (Croatia) goal ruled out (offside per ESPN VAR review column) after VAR review.",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-07-07,Argentina,Egypt,goal_disallowed,Argentina,Egypt,"R16, 58' (feed) / 62' (ESPN column): Mostafa Zico's goal that would have put Egypt 2-0 up disallowed after on-field review for a foul by Attia on Lisandro Martinez (shirt hold + stepping on foot) at the start of the counter. ESPN's VAR expert called it 'probably an intervention too far'. Argentina came back to win 3-2.",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-07-11,Norway,England,goal_disallowed,England,Norway,"QF, 55': Heggem (Norway) goal ruled out after VAR review for a foul by Haaland on Anderson in the build-up (ESPN feed; Wikipedia/BBC).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760512,
2026,2026-06-15,Sweden,Tunisia,goal_awarded,Sweden,Tunisia,84': Svanberg (Sweden) goal awarded after VAR review using Connected Ball Tracking technology overturned the on-field offside/no-goal decision (ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-19,United States,Australia,goal_awarded,United States,Australia,43': Freeman (USA) header awarded following VAR review after an on-field offside decision (ESPN feed; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-27,Croatia,Ghana,goal_awarded,Ghana,Croatia,73': Luckassen (Ghana) equaliser awarded after VAR review (ESPN feed: 'VAR Decision: Goal Croatia 1-1 Ghana').,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760480,
2026,2026-06-17,Austria,Jordan,penalty_awarded,Austria,Jordan,90+10': VAR decision: penalty to Austria for handball by Obaid; Arnautovic converted (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,
2026,2026-06-22,Argentina,Austria,penalty_awarded,Argentina,Austria,7': VAR decision: penalty to Argentina; Messi's kick missed to the right at 9' (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760456,
2026,2026-06-28,Jordan,Argentina,penalty_awarded,Argentina,Jordan,29': VAR decision: penalty to Argentina; Lautaro Martinez converted for 2-0 (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760483,
2026,2026-07-01,Belgium,Senegal,penalty_awarded,Belgium,Senegal,"R32, extra time: penalty to Belgium (Camara foul on Tielemans, 117') confirmed after the referee was called to the monitor by VAR; Tielemans converted for 3-2 (ESPN feed; ESPN VAR review column).",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-07-02,Portugal,Croatia,penalty_awarded,Portugal,Croatia,"R32, 64'-65': penalty to Portugal (Vlasic foul on Veiga) with 'VAR Decision: Penalty Portugal' logged; Ronaldo converted (ESPN feed).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760496,
2026,2026-07-04,Paraguay,France,penalty_awarded,France,Paraguay,"R16, 67': VAR intervention (on-field review) awarded France a penalty; Mbappe converted (ESPN feed; ESPN VAR review column).",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-07-05,Brazil,Norway,penalty_awarded,Brazil,Norway,"R16, 10'-12': penalty to Brazil (Ajer foul on Cunha) with 'VAR Decision: Penalty Brazil' logged; Bruno Guimaraes's kick saved by Nyland (ESPN feed).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760504,
2026,2026-07-06,Mexico,England,penalty_awarded,Mexico,England,"R16, 66'-68': VAR review awarded Mexico a penalty for Kane's foul on Gutierrez; Jimenez converted (ESPN feed; ESPN VAR review column).",https://www.espn.com/soccer/story/_/id/49283462/world-cup-2026-var-review-quansahs-red-kanes-penalty-did-ref-get-right,
2026,2026-06-18,Canada,Qatar,penalty_rescinded,Qatar,Canada,33': on-field penalty to Canada changed to a free kick after VAR review (offence outside the area); Qatar's El Amin was sent off on the same review (see red_card_issued row) (ESPN feed: 'VAR Decision: No Penalty Canada'; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-11,Mexico,South Africa,red_card_issued,Mexico,South Africa,82'-84': Zwane (South Africa) card upgraded to red for violent conduct (hand caught Alvarado's face) after VAR review; ESPN's reviewer called it harsh (ESPN feed; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-18,Canada,Qatar,red_card_issued,Canada,Qatar,33': El Amin (Qatar) sent off (DOGSO) on the same VAR review that changed Canada's penalty to a free kick (ESPN feed; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-18,Canada,Qatar,red_card_issued,Canada,Qatar,51'-53': Madibo (Qatar) card upgraded to red on VAR review (ESPN feed: 'VAR Decision: Card upgraded Assim Madibo'; ESPN VAR review column: sent off on review).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-20,Turkey,Paraguay,red_card_issued,Turkey,Paraguay,45+2'-45+3': Almiron (Paraguay) sent off after a quick VAR review for covering his mouth while speaking confrontationally to an opponent (new IFAB rule); ESPN feed logged 'VAR Decision: No card change' before the red was shown (ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-26,Senegal,Iraq,red_card_issued,Senegal,Iraq,12'-13': Sulaka (Iraq) card upgraded to red after VAR review (ESPN feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474,
2026,2026-07-01,Mexico,Ecuador,red_card_issued,Mexico,Ecuador,"R32, 90+5': Hincapie (Ecuador) card upgraded to red after VAR review (ESPN feed).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760491,
2026,2026-07-02,United States,Bosnia and Herzegovina,red_card_issued,Bosnia and Herzegovina,United States,"R32, 63'-64': Balogun (USA) card upgraded to red for serious foul play after on-field review (ESPN feed; ESPN VAR review column). FIFA later upheld the suspension appeal drama covered separately in media.",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-07-06,Mexico,England,red_card_issued,Mexico,England,"R16, 53'-54': Quansah (England) card upgraded to red for serious foul play after on-field review (ESPN feed; ESPN VAR review column).",https://www.espn.com/soccer/story/_/id/49283462/world-cup-2026-var-review-quansahs-red-kanes-penalty-did-ref-get-right,
2026,2026-07-12,Argentina,Switzerland,red_card_issued,Argentina,Switzerland,"QF, 70'-72': after VAR review, Paredes's (Argentina) yellow for a challenge on Embolo was rescinded and Embolo (Switzerland) was booked for simulation instead - his second yellow, so he was sent off. Second use of the new 'mistaken identity' protocol at this World Cup (ESPN VAR review column; Wikipedia).",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-13,United States,Paraguay,other,United States,Paraguay,"52': mistaken-identity card change after VAR review: Ream's (USA) yellow rescinded and given to Almiron (Paraguay), who was deemed to have dived (ESPN feed: 'VAR Decision: Card Changed'; ESPN VAR review column).",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-17,England,Croatia,other,England,Croatia,"9'-15': Kane's on-field penalty (checked and cleared by VAR) was saved by Livakovic, but VAR ordered a retake for encroachment by Livakovic and Gvardiol; Kane converted the retake. Feed logged two 'VAR Decision: Other Decision Cancelled' entries at 11' and 15' (ESPN VAR review column).",https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-16,France,Senegal,other,Senegal,France,60'-62': VAR recommended an on-field review for a possible France penalty (Mane's lunge on Mbappe); referee Faghani stuck with no penalty. ESPN's reviewer strongly disagreed with the on-field call standing (ESPN feed: 'VAR Decision: No Penalty France'; ESPN VAR review column).,https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology,
2026,2026-06-25,Ecuador,Germany,other,Ecuador,Germany,47': 'VAR Decision: No Penalty Germany' logged - review concluded no penalty for Germany (ESPN feed; no further detail in feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468,
2026,2026-06-27,New Zealand,Belgium,other,New Zealand,Belgium,21': 'VAR Decision: No Penalty Belgium' logged - review concluded no penalty for Belgium (ESPN feed; no further detail in feed).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477,
2026,2026-07-11,Norway,England,other,Norway,England,"QF, 101' (extra time): 'VAR Decision: No Penalty England' logged - review concluded no penalty for England (ESPN feed).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760512,
2026,2026-06-13,Brazil,Morocco,no_overturn,,,"82': feed logs 'VAR Decision: Other Decision Cancelled' between substitutions (80') and an injury delay (84'). Full fetched feed shows no goal, penalty or card change at this point and ESPN's match report records no VAR incident; subject of review unknown - no overturn occurred (feed artifact).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419
2026,2026-06-14,Australia,Turkey,no_overturn,,,44': 'Other Decision Cancelled' logged late in the first half (Australia led 1-0; no decisive event within 2 minutes in the feed). ESPN's match report records no VAR incident; subject of review unknown - no overturn occurred (feed artifact).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421
2026,2026-06-15,Spain,Cape Verde,no_overturn,,,4': 'Other Decision Cancelled' logged after an early Cucurella foul (2'). Match finished 0-0 with no VAR incident in ESPN's match report; subject of review unknown - no overturn occurred (feed artifact).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428
2026,2026-06-15,Spain,Cape Verde,no_overturn,,,81': 'Other Decision Cancelled' logged around Spain's 81' substitution; match finished 0-0 with no VAR incident in ESPN's match report; subject of review unknown - no overturn occurred (feed artifact).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428
2026,2026-06-15,Belgium,Egypt,no_overturn,,,12': 'Other Decision Cancelled' logged immediately before Attia's (Egypt) yellow card for a bad foul (13') - possibly a card check that ended with no upgrade (unverified). No decision change in the feed; no overturn occurred (feed artifact).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426
2026,2026-06-18,Switzerland,Bosnia and Herzegovina,no_overturn,,,"56': 'Other Decision Cancelled' logged in the same minute as 'Offside, Switzerland. Dan Ndoye is caught offside' plus a review stoppage (start/end delay in ESPN keyEvents) - most likely an offside/goal check that confirmed the flag (unverified). No decision change in the feed; no overturn occurred (feed artifact).",https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439
2026,2026-06-19,United States,Australia,no_overturn,,,59': 'Other Decision Cancelled' logged just before an injury delay for Leckie (60'). No decision change in the feed; ESPN's VAR tracker column covers this match but only for the Freeman goal review at 43' (separate row); subject of review unknown - no overturn occurred (feed artifact).,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442 ; http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
