tournament_year,match_date,home_team,away_team,minute,review_subject,standing_decision,favoured_team,source_url
2026,2026-06-17,Argentina,Algeria,30,"VAR check: possible red card for Messi's (ARG) studs-on-calf tackle on Mandi (foul given, no card)","No card - challenge checked and cleared by VAR",Argentina,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-17,England,Croatia,9,"VAR check of the on-field penalty award to England (Modric foul on Madueke) - separate from the later retake intervention","Penalty award checked and cleared",England,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-18,Switzerland,Bosnia and Herzegovina,56,"PROBABLE offside/goal check: Ndoye (SUI) flagged offside in the same minute with a review stoppage logged (subject unverified by press)","Offside flag stood - no goal for Switzerland",Bosnia and Herzegovina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439
2026,2026-06-19,United States,Australia,59,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (before a 60' Leckie injury delay; ESPN's tracker covers this match but only the 43' Freeman goal)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442 ; http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology"
2026,2026-06-21,Ecuador,Curaçao,55,"Unknown subject - feed logs only 'VAR Decision: Other Decision Cancelled' (nearby: Bacuna (CUW) yellow 53', Plata (ECU) attempt 54'; match finished 0-0)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446
2026,2026-06-21,Ecuador,Curaçao,81,"Unknown subject - feed logs only 'VAR Decision: Other Decision Cancelled' (after two 80' Ecuador corners; match finished 0-0)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446
2026,2026-06-21,Belgium,Iran,66,"VAR check of the on-field red card to Ngoy (BEL) for DOGSO on Taremi","Red card confirmed - straightforward check and clear",Iran,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-21,Uruguay,Cape Verde,90+3,"PROBABLE check on the same-minute stoppage-time sequence (Uruguay fast-break attempt and/or Diney Borges (CPV) yellow card); both same-minute candidates leave Cape Verde favoured (subject unverified; match finished 2-2)","On-field decisions stood - no Uruguay goal/penalty given; Borges's card stayed yellow",Cape Verde,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760450 ; https://www.vavel.com/en-us/soccer/2026/06/20/1264006-uruguay-vs-cape-verde-live-score-2026-fifa-world-cup.html"
2026,2026-06-22,New Zealand,Egypt,21,"PROBABLE check on the same-minute Egypt corner sequence (Zico header) or the 20' Singh (NZL) yellow; both adjacent candidates leave New Zealand favoured (subject unverified)","On-field decisions stood - no goal/penalty for Egypt; Singh's card stayed yellow",New Zealand,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760452
2026,2026-06-22,Argentina,Austria,38,"VAR check: possible foul by Mac Allister on Schlager in the build-up to Messi's goal","Goal stood - checked and cleared as a correct on-field decision",Argentina,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-22,France,Iraq,28,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after two 27' Iraq attempts)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760457
2026,2026-06-23,England,Ghana,67,"VAR check: possible DOGSO red card for Pickford (ENG) after collision with Adu (free kick given to England on field)","No red card - not judged a clear on-field error; no on-field review",England,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-23,England,Ghana,79,"VAR check: possible penalty to Ghana (Konsa challenge on Adu)","No penalty - checked and cleared against the tournament's high intervention bar",England,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-24,Colombia,DR Congo,45+5,"PROBABLE penalty-area/card check on the handball called against Wissa (COD) at 45'+4' during a Colombia attack (subject unverified); half ended 0-0 seconds later","No penalty/no card change - handball free-kick call stood as given",DR Congo,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760459
2026,2026-06-24,Bosnia and Herzegovina,Qatar,28,"Check on Alajbegovic's 29' opening goal, confirmed by VAR ('established as a goal by all regular means' - live match report)","Goal stood",Bosnia and Herzegovina,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462 ; https://sundayguardianlive.com/sports/bosnia-herzegovina-vs-qatar-live-kerim-alajbegovic-striking-goal-put-bosnia-ahead-in-group-b-survival-thriller-fifa-world-cup-2026-213160/"
2026,2026-06-24,Morocco,Haiti,57,"PROBABLE offside check: El Kaabi (MAR) flagged offside at 56', immediately before the entry (subject unverified by press)","Offside flag stood - no goal for Morocco",Haiti,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464
2026,2026-06-25,Ecuador,Germany,3,"VAR check: possible foul (Pavlovic high boot on Vite) in the build-up to Sane's opening goal","Goal stood - checked and cleared",Germany,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-25,Ecuador,Germany,47,"Review logged 'VAR Decision: No Penalty Germany' (no further detail in feed)","No penalty for Germany - on-field decision stood",Ecuador,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468
2026,2026-06-26,Senegal,Iraq,87,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (Senegal 5-0 up; match's only recorded intervention was the 12' Sulaka red)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474
2026,2026-06-27,Cape Verde,Saudi Arabia,39,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (same minute as a Joao Paulo (CPV) header from a corner; match finished 0-0)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478
2026,2026-06-27,Cape Verde,Saudi Arabia,88,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after an 86' offside against Rodrigues (CPV) and an 86' blocked Cape Verde attempt)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478
2026,2026-06-27,New Zealand,Belgium,21,"Review logged 'VAR Decision: No Penalty Belgium' (no further detail in feed)","No penalty for Belgium - on-field decision stood",New Zealand,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477
2026,2026-06-27,Colombia,Portugal,31,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after a drinks break; ESPN's tracker records nothing at this minute)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481 ; http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology"
2026,2026-06-27,Colombia,Portugal,90,"SAOT review of the on-field offside flag against Davinson Sanchez's late headed goal for Colombia","Offside confirmed (front of Sanchez's boot over the line) - no goal",Portugal,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-28,South Africa,Canada,15,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (nearest logged event: 13' Laryea (CAN) foul)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486 ; http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology"
2026,2026-06-28,South Africa,Canada,37,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after a 36' Okon (RSA) header from a corner)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486 ; http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology"
2026,2026-06-28,South Africa,Canada,45+1,"VAR check (no on-field review): possible penalty to Canada (Mudau challenge on Laryea)","No penalty - VAR discussion did not lead to an on-field review",South Africa,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-07-01,England,DR Congo,43,"VAR check: possible penalty to England (goalkeeper Mpasi's slide on Kane)","No penalty - VAR checked and cleared the on-field decision",DR Congo,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-07-02,Spain,Austria,9,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after an 8' Spain corner and Laporte header; separate from Cucurella's 29' disallowed goal)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760497
2026,2026-07-06,Mexico,England,58,"VAR check of the on-field penalty to England (goalkeeper Rangel's foul on Gordon)","Penalty checked and cleared; no sanction for the keeper",England,https://web.archive.org/web/20260716210756/https://www.espn.com/soccer/story/_/id/49283462/world-cup-2026-var-review-quansahs-red-kanes-penalty-did-ref-get-right
2026,2026-07-07,United States,Belgium,45+1,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after two 45' USA attempts; half ended 1-2)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760507
2026,2026-07-07,Argentina,Egypt,32,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (immediately after Messi's 31' free kick hit the post; ESPN's tracker records nothing at this minute)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,"https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760509 ; http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology"
2026,2026-07-07,Argentina,Egypt,90+2,"VAR check: possible foul/penalty for Mac Allister's grab on Fathy in the Argentina box in the phase before Argentina's stoppage-time goal (double-consequence check)","Checked and cleared - goal stood and no penalty to Egypt",Argentina,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-07-07,Argentina,Egypt,,"VAR check: possible penalty to Egypt (Alvarez challenge on Salah in the closing minutes; exact minute not stated by source)","Checked and cleared - no penalty",Argentina,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-07-07,Switzerland,Colombia,40,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after a 39' Colombia corner and attempts; match 0-0 after extra time)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508
2026,2026-07-11,Norway,England,101,"Review logged 'VAR Decision: No Penalty England' in extra time (no further detail in feed)","No penalty for England - on-field decision stood",Norway,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760512
2026,2026-07-14,France,Spain,20,"VAR check of the on-field penalty to Spain (Digne foul on Yamal; possible Yamal arm contact also assessed and cleared)","Penalty confirmed - no basis to overturn; Oyarzabal scored (22')",Spain,"https://thevarverdict.com/spain-penalty-against-france/ ; https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760514"
2026,2026-07-14,France,Spain,83,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (Spain 2-0 up; press coverage records no second-half review)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760514
